# Emergency Response Dataset - Kolkata Region
# This file contains emergency response units and incident locations.
# Empty lines and lines starting with # (comments) are skipped by the parser.

# Units
# Format: unit_id, unit_type, latitude, longitude, status
# Valid unit_type: Ambulance, Fire, Police (case-insensitive)
# Valid status: Available, Busy, Maintenance (case-insensitive)

F1,Fire,22.5842,88.3047,Available
P2,Police,22.4626,88.4357,Available
F3,Fire,22.6588,88.3182,Busy
P4,Police,22.6687,88.3267,Maintenance
P5,Police,22.689,88.3206,Busy
P6,Police,22.6426,88.3746,Available
F7,Fire,22.5964,88.2925,Busy
A8,Ambulance,22.485,88.4115,Busy
P9,Police,22.4504,88.4846,Available
F10,Fire,22.543,88.2999,Busy
P11,Police,22.4791,88.3062,Available
F12,Fire,22.6335,88.4566,Available
F13,Fire,22.6381,88.3286,Busy
F14,Fire,22.624,88.3665,Available
P15,Police,22.5993,88.4711,Available
F16,Fire,22.602,88.4708,Available
A17,Ambulance,22.4999,88.4302,Maintenance
A18,Ambulance,22.5103,88.3656,Available
F19,Fire,22.5243,88.4239,Busy
F20,Fire,22.6108,88.4922,Available
A21,Ambulance,22.5822,88.2755,Busy
P22,Police,22.6034,88.431,Available
A23,Ambulance,22.5812,88.3216,Available
F24,Fire,22.6705,88.447,Available
P25,Police,22.6654,88.403,Available
F26,Fire,22.5917,88.2933,Available
A27,Ambulance,22.5008,88.352,Available
P28,Police,22.4688,88.3398,Busy
P29,Police,22.6178,88.4235,Available
P30,Police,22.5312,88.3079,Available
A31,Ambulance,22.4684,88.4524,Busy
P32,Police,22.4937,88.4786,Busy
A33,Ambulance,22.4715,88.2851,Available
A34,Ambulance,22.552,88.2856,Available
A35,Ambulance,22.5716,88.4196,Busy
F36,Fire,22.5719,88.3942,Busy
A37,Ambulance,22.5322,88.4387,Available
P38,Police,22.6935,88.4514,Busy
F39,Fire,22.6917,88.3259,Busy
F40,Fire,22.5699,88.2788,Available
P41,Police,22.5811,88.2602,Available
A42,Ambulance,22.6927,88.3143,Busy
A43,Ambulance,22.6788,88.4228,Busy
F44,Fire,22.6811,88.3276,Available
P45,Police,22.6102,88.3171,Busy
F46,Fire,22.5393,88.3321,Busy
P47,Police,22.4784,88.3598,Available
A48,Ambulance,22.5736,88.341,Available
A49,Ambulance,22.6144,88.3021,Available
P50,Police,22.6515,88.4506,Available
F51,Fire,22.6457,88.4656,Busy
A52,Ambulance,22.5912,88.329,Maintenance
P53,Police,22.6227,88.4928,Available
A54,Ambulance,22.5529,88.3431,Maintenance
P55,Police,22.5872,88.4168,Busy
F56,Fire,22.6759,88.2851,Available
P57,Police,22.5034,88.395,Busy
A58,Ambulance,22.6844,88.4043,Available
F59,Fire,22.6917,88.3448,Available
A60,Ambulance,22.516,88.3724,Available
A61,Ambulance,22.6486,88.2671,Available
A62,Ambulance,22.4629,88.2555,Busy
A63,Ambulance,22.6211,88.4408,Available
P64,Police,22.5773,88.3593,Available
P65,Police,22.5332,88.2602,Available
F66,Fire,22.5366,88.4885,Busy
F67,Fire,22.5236,88.4883,Available
P68,Police,22.6121,88.354,Busy
F69,Fire,22.4564,88.3887,Busy
F70,Fire,22.4593,88.4246,Available
F71,Fire,22.6381,88.3599,Available
A72,Ambulance,22.5961,88.3416,Available
A73,Ambulance,22.4677,88.3497,Busy
P74,Police,22.4912,88.4253,Busy
F75,Fire,22.6341,88.4893,Available
P76,Police,22.607,88.3289,Available
F77,Fire,22.6486,88.3803,Busy
P78,Police,22.5839,88.273,Available
F79,Fire,22.4524,88.3903,Available
A80,Ambulance,22.4731,88.3148,Busy
F81,Fire,22.6992,88.3931,Available
F82,Fire,22.5384,88.2583,Busy
F83,Fire,22.6345,88.4953,Busy
P84,Police,22.6508,88.2589,Busy
P85,Police,22.5175,88.4063,Available
F86,Fire,22.6207,88.4133,Available
A87,Ambulance,22.4782,88.3749,Available
P88,Police,22.5628,88.3554,Available
A89,Ambulance,22.5525,88.4759,Busy
P90,Police,22.6507,88.2737,Available
F91,Fire,22.6073,88.4613,Available
F92,Fire,22.6323,88.2658,Available
A93,Ambulance,22.5391,88.3058,Available
A94,Ambulance,22.6449,88.4448,Available
P95,Police,22.6915,88.4168,Available
A96,Ambulance,22.6295,88.4408,Available
P97,Police,22.5414,88.3321,Available
F98,Fire,22.5356,88.4666,Available
P99,Police,22.4893,88.4066,Available
A100,Ambulance,22.5709,88.4347,Available
F101,Fire,22.5395,88.3694,Available
A102,Ambulance,22.464,88.4194,Available
P103,Police,22.5041,88.2892,Busy
P104,Police,22.6242,88.425,Busy
F105,Fire,22.6808,88.2612,Maintenance
